[Fri Mar 31 19:28:54.518297 2017] [:error] [pid 26684] [client 127.0.0.1:52380] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:32:59.100240 2017] [:error] [pid 8808] [client 127.0.0.1:52429] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 8, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:32:59.100277 2017] [:error] [pid 8808] [client 127.0.0.1:52429] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:32:59.100283 2017] [:error] [pid 8808] [client 127.0.0.1:52429] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:33:15.550266 2017] [:error] [pid 9660] [client 127.0.0.1:52431] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:33:15.550338 2017] [:error] [pid 9660] [client 127.0.0.1:52431] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:33:15.550349 2017] [:error] [pid 9660] [client 127.0.0.1:52431] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:33:15.550354 2017] [:error] [pid 9660] [client 127.0.0.1:52431] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:06.056281 2017] [:error] [pid 8811] [client 127.0.0.1:52449] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:35:06.056364 2017] [:error] [pid 8811] [client 127.0.0.1:52449] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
